x,y,HAADF Intensity,SEEBIC Intensity,frame,atom_id,k-means labels,Type,Scaled SEEBIC Intensity
175.19230769230768,25.192307692307693,0.06295251450501382,-2.013073056936264,0,19,0,W,-0.1714159883632811
417.0,25.5,0.061460403725504875,-1.990667074918747,0,20,0,W,-0.149010006345764
44.09090909090909,26.09090909090909,0.05269747553393245,-1.6629310250282288,0,21,1,Se-Se,0.1787260435447542
24.678571428571427,28.5,0.070502620190382,-1.7660201489925385,0,22,0,W,0.0756369195804445
265.96,30.6,0.06531976326368749,-2.028597943484783,0,23,0,W,-0.18694087491180023
287.5,29.285714285714285,0.039800513768568635,-1.8596562966704369,0,24,1,Se-Se,-0.017999228097453912
135.44,30.92,0.04940944770351052,-1.593278981745243,0,26,1,Se-Se,0.24837808682773987
376.5,31.0,0.051061607198789716,-2.2831863909959793,0,27,1,Se-Se,-0.44152932242299636
115.78571428571429,32.5,0.06141316471621394,-1.8974817916750908,0,28,0,W,-0.05582472310210784
356.96,33.4,0.06406532973051071,-2.1612278819084167,0,29,0,W,-0.3195708133354338
227.25,34.5,0.050345049472525716,-1.7367953285574913,0,30,1,Se-Se,0.10486174001549164
468.82608695652175,34.26086956521739,0.04979873122647405,-1.9174491241574287,0,31,1,Se-Se,-0.0757920555844458
208.0,36.0,0.06709588342346251,-1.6683858633041382,0,32,0,W,0.17327120526884476
450.4,36.04,0.05496081546880305,-2.1805534064769745,0,33,0,W,-0.33889633790399154
76.3076923076923,36.96153846153846,0.05104885506443679,-1.7342611700296402,0,34,1,Se-Se,0.10739589854334275
319.18518518518516,38.592592592592595,0.05094630946405232,-2.0202562361955643,0,35,1,Se-Se,-0.17859916762258132
58.25925925925926,39.407407407407405,0.05776230478659272,-1.7996424287557602,0,36,0,W,0.042014639817222754
300.4,41.03333333333333,0.05633225431665778,-1.9865757599473,0,37,0,W,-0.144918691374317
411.24,41.2,0.05831494298763573,-2.2581910490989685,0,38,1,Se-Se,-0.41653398052598556
169.40740740740742,41.925925925925924,0.05321853677742183,-1.6644552275538445,0,39,1,Se-Se,0.1772018410191385
150.19230769230768,43.80769230769231,0.06824535829946399,-1.8931413367390633,0,40,0,W,-0.051484268166080316
392.13793103448273,43.41379310344828,0.07106203678995371,-2.176192194223404,0,41,0,W,-0.334535125650421
242.36666666666667,46.63333333333333,0.06511223712004721,-1.9249852895736694,0,44,0,W,-0.08332822100068649
261.85714285714283,45.80952380952381,0.052033896557986736,-1.8961530104279518,0,45,1,Se-Se,-0.054495941854968866
485.03846153846155,46.69230769230769,0.06417688494548202,-2.010295547544956,0,46,0,W,-0.16863847897197326
110.8,47.88,0.05198042327538133,-1.830828718841076,0,47,1,Se-Se,0.01082834973190705
92.26666666666667,49.7,0.06867129681631923,-2.0126106068491936,0,48,0,W,-0.17095353827621063
352.24,49.04,0.05662772711366415,-1.7592898160219193,0,49,1,Se-Se,0.0823672525510637
333.375,50.84375,0.06486297189258039,-1.9632806181907654,0,50,0,W,-0.12162354961778243
203.42307692307693,52.30769230769231,0.050516408402472734,-1.843168057501316,0,51,1,Se-Se,-0.0015109889283331235
444.5,53.0,0.05620196741074324,-1.9931875839829445,0,52,1,Se-Se,-0.15153051540996154
183.5,55.5,0.06213814369402826,-1.9238340705633163,0,53,0,W,-0.0821770019903334
425.75,55.6875,0.06979123130440712,-2.1436399072408676,0,54,0,W,-0.30198283866788467
52.758620689655174,56.758620689655174,0.05611728364601731,-1.826785996556282,0,55,1,Se-Se,0.014871072016700904
33.375,58.84375,0.0633647853974253,-1.77980587631464,0,56,0,W,0.0618511922583429
294.5,58.166666666666664,0.04977824725210667,-1.8719497621059418,0,57,1,Se-Se,-0.030292693532958825
275.4193548387097,60.54838709677419,0.06375407008454204,-1.851987287402153,0,58,0,W,-0.010330218829170068
144.44,62.08,0.052049135556444526,-1.6973698362708092,0,59,1,Se-Se,0.14428723230217377
386.1578947368421,61.8421052631579,0.051571758929640055,-1.9714620262384415,0,60,1,Se-Se,-0.12980495766545852
124.96774193548387,63.806451612903224,0.0671481629833579,-1.7602390497922897,0,61,0,W,0.08141801878069321
367.05882352941177,64.11764705882354,0.06147707789205015,-2.1437815129756927,0,62,0,W,-0.3021244444027098
236.21428571428572,67.5,0.05245240963995457,-1.7015029788017273,0,63,1,Se-Se,0.14015408977125565
216.3939393939394,69.24242424242425,0.06445768428966403,-1.8058319464325905,0,64,0,W,0.03582512214039246
477.2758620689655,68.65517241379311,0.05595843610353768,-1.976341500878334,0,65,1,Se-Se,-0.1346844323053511
85.29629629629629,70.77777777777777,0.05562887014821172,-1.648155800998211,0,66,1,Se-Se,0.19350126757477204
457.6969696969697,70.93939393939394,0.06547682080417871,-2.2918140441179276,0,67,0,W,-0.4501569755449446
66.0,74.0,0.06408807239495218,-1.9749603271484375,0,68,0,W,-0.13330325857545455
307.40625,75.4375,0.060506036039441824,-1.9390189200639725,0,69,0,W,-0.09736185149098953
327.0,73.5,0.05198575812391937,-1.8986435756087303,0,70,1,Se-Se,-0.05698650703574737
176.31034482758622,76.44827586206897,0.052752347430214286,-1.9101572334766388,0,71,1,Se-Se,-0.06850016490365585
157.0,79.0,0.07317288313060999,-1.8940135091543198,0,72,0,W,-0.052356440581336816
398.5151515151515,79.39393939393939,0.05041893827728927,-2.196355178952217,0,73,0,W,-0.35469811037923415
418.5,79.5,0.05086445342749357,-2.033226326107979,0,74,1,Se-Se,-0.19156925753499587
26.5,81.0,0.05114439781755209,-1.94325640052557,0,75,1,Se-Se,-0.10159933195258697
267.6666666666667,83.875,0.04981701564975083,-1.6957231014966965,0,77,1,Se-Se,0.14593396707628647
248.0,86.0,0.07312360778450966,-2.03095992654562,0,78,0,W,-0.18930285797263702
117.83333333333333,86.6,0.05787685560062528,-1.6260275542736053,0,80,1,Se-Se,0.2156295142993776
97.92592592592592,88.5925925925926,0.06117924791760743,-1.8363612815737724,0,81,0,W,0.005295786999210517
358.2758620689655,88.65517241379311,0.05935894069261849,-1.8889359012246132,0,82,1,Se-Se,-0.04727883265163024
